,Country,Currency,Currency abbreviation,GDP per capita PPP,GDP per capita,Forex score,today_rate,PPP,coffee,Final score,id,rank
187,Taiwan,Taiwan Dollar,TWD,65480.0,32811.0,1.5297334404727767,4.302662331460445,0.5010843005497861,1.8270731581631239,2.186209714375231,187,121
81,"China, Macao SAR",Pataca,MOP,71185.65564,43873.6,2.2172324415817775,16.16731469686313,0.616326415842505,1.4854428627076848,2.1770379774384923,81,122
113,Ghana,Cedi,GHS,5435.24,2363.3,0.8911873681107516,10.97875763100151,0.4348106063393705,2.1055550673409615,2.1756521288980166,113,123
68,Cabo Verde,Cabo Verde Escudo,CVE,6716.956331,3293.2,1.3519069336140495,1.2731720535200424,0.4902815855451182,1.8673303311882332,2.1717159630937615,68,124
1,Albania,Lek,ALL,15709.25126,6492.9,0.5971681805892756,1.2308778012657788,0.4133169616131024,2.2150498540837895,2.1622282050497925,1,125
50,Belize,Belize Dollar,BZD,9626.573571,6228.3,2.2682461599200714,64.87007712376646,0.6469903288084474,1.415040742877182,2.1613465063041843,50,126
71,Central African Republic,CFA Franc BEAC,XAF,920.0784701,461.1,1.3519069849199457,0.2140272645030925,0.5011529070448575,1.826823036725418,2.158442400729944,71,127
13,Hungary,Forint,EUR,36752.4965,18728.1,1.3519069303098181,140.39268234165507,0.509573546928982,1.7966350118230352,2.1485502756887005,13,128
6,Croatia,Croatian Kuna,EUR,34314.01846,17685.3,1.3519069303098181,140.39268234165507,0.5153957709912592,1.7763391301225564,2.1418996509405304,6,129
32,Dominica,East Caribbean Dollar,XCD,11950.55716,7653.2,2.065590693440548,48.4139775761677,0.6404052880158769,1.4295910615415783,2.136611579777637,32,130
100,State of Palestine,US Dollar,USD,5643.07,3663.97,2.106077019475807,130.71774181531478,0.6492866471619172,1.4100361982080751,2.1361393829701343,100,131
166,Qatar,Qatari Rial,QAR,102018.1159,66838.4,2.106077022774936,35.91146753167988,0.6551620700926902,1.3973911453419963,2.1319958087724284,166,132
161,Papua New Guinea,Kina,PGK,4040.039446,2672.9,2.1051922084644716,37.150387955900605,0.6616024510964639,1.3837882160112676,2.127408858155167,161,133
163,Peru,Nuevo Sol,PEN,13748.53362,6621.6,0.9793423079949425,34.76308468716321,0.48162227209217096,1.9009039418680571,2.1230581673523257,163,134
165,Poland,Zloty,PLN,37836.76295,17999.9,0.9059299032388107,29.998370363971432,0.47572515713847563,1.9244676506459502,2.118741921457377,165,135
43,Tuvalu,Australian Dollar,AUD,5409.511692,5632.0,3.1723734134411026,86.92458988441341,1.0411290927292074,0.8793507759076514,2.1116276399544476,43,136
39,Aruba,Aruban Guilder,AWG,42698.35987,29342.1,2.1060770224698135,73.02667140520379,0.6871950137976107,1.3322530826469172,2.11065114293789,39,137
40,Australia,Australian Dollar,AUD,56281.37865,60433.1,3.1723734134411026,86.92458988441341,1.0737672290477909,0.8526221053731843,2.1028690967009154,40,138
18,Lithuania,Euro,EUR,42581.26696,23723.3,1.3519069303098181,140.39268234165507,0.5571299703760623,1.6432748625845492,2.098296691293573,18,139
76,Canada,Canadian Dollar,CAD,52085.03569,51987.9,2.9111737376789604,95.0745283827328,0.9981350557081667,0.9172282551101335,2.0886006804357384,76,140
80,"China, Hong Kong SAR",Hong Kong Dollar,HKD,65891.69471,49800.5,2.217232443165804,16.652334137769028,0.7557932789432728,1.211333443969635,2.0872168547984797,80,141
178,Solomon Islands,Solomon Islands Dollar,SBD,2648.732207,2304.8,2.568280366848219,15.712320276980003,0.8701521406765603,1.052135175809169,2.0851896097272733,178,142
